test,file size, full amount, disksize, seconds
benchmark,256,0.25,32000000,318.1531283855438
otf cbc,256,0.25,32000000,319.42629528045654
otf ecb,256,0.25,32000000,315.27341389656067
full disk ebc,256,0.25,32000000,320.63108110427856
combo cbc,256,0.25,32000000,345.34556221961975
combo ebc,256,0.25,32000000,343.94754695892334
benchmark,256,0.9,32000000,1211.7948486804962
otf cbc,256,0.9,32000000,1207.8674306869507
otf ecb,256,0.9,32000000,1202.966489315033
full disk ebc,256,0.9,32000000,1209.5375084877014
combo cbc,256,0.9,32000000,1283.2489211559296
combo ebc,256,0.9,32000000,1290.2000653743744
benchmark,1024,0.25,32000000,61.133304834365845
otf cbc,1024,0.25,32000000,62.82620406150818
otf ecb,1024,0.25,32000000,64.28740096092224
full disk ebc,1024,0.25,32000000,66.27035164833069
combo cbc,1024,0.25,32000000,91.3492476940155
combo ebc,1024,0.25,32000000,91.30097532272339
benchmark,1024,0.9,32000000,297.4912610054016
otf cbc,1024,0.9,32000000,295.33460521698
otf ecb,1024,0.9,32000000,295.70199179649353
full disk ebc,1024,0.9,32000000,294.70574283599854
combo cbc,1024,0.9,32000000,320.7114431858063
combo ebc,1024,0.9,32000000,326.4805610179901
benchmark,8192,0.25,32000000,5.493627071380615
otf cbc,8192,0.25,32000000,6.090760946273804
otf ecb,8192,0.25,32000000,6.127880573272705
full disk ebc,8192,0.25,32000000,8.657446146011353
combo cbc,8192,0.25,32000000,10.11713433265686
combo ebc,8192,0.25,32000000,10.6764657497406
benchmark,8192,0.9,32000000,22.957983255386353
otf cbc,8192,0.9,32000000,24.922016620635986
otf ecb,8192,0.9,32000000,24.93095111846924
full disk ebc,8192,0.9,32000000,25.801963806152344
combo cbc,8192,0.9,32000000,37.7849440574646
combo ebc,8192,0.9,32000000,37.940266609191895
benchmark,32768,0.25,32000000,0.8996291160583496
otf cbc,32768,0.25,32000000,1.4049251079559326
otf ecb,32768,0.25,32000000,1.38746976852417
full disk ebc,32768,0.25,32000000,4.329846382141113
combo cbc,32768,0.25,32000000,5.383692502975464
combo ebc,32768,0.25,32000000,5.421286344528198
benchmark,32768,0.9,32000000,4.756060600280762
otf cbc,32768,0.9,32000000,6.5221335887908936
otf ecb,32768,0.9,32000000,6.579257011413574
full disk ebc,32768,0.9,32000000,8.403308153152466
combo cbc,32768,0.9,32000000,10.343894243240356
combo ebc,32768,0.9,32000000,10.387723445892334
benchmark,256,0.25,16000000,149.0188479423523
otf cbc,256,0.25,16000000,146.66309809684753
otf ecb,256,0.25,16000000,148.18177461624146
full disk cbc,256,0.25,16000000,148.9247386455536
combo cbc,256,0.25,16000000,176.57804346084595
combo ebc,256,0.25,16000000,149.12133312225342
benchmark,256,0.9,16000000,600.5728783607483
otf cbc,256,0.9,16000000,602.6177816390991
otf ecb,256,0.9,16000000,604.3767995834351
full disk cbc,256,0.9,16000000,606.8223969936371
combo cbc,256,0.9,16000000,636.8052022457123
combo ebc,256,0.9,16000000,599.1645126342773
benchmark,1024,0.25,16000000,25.294941186904907
otf cbc,1024,0.25,16000000,24.703501224517822
otf ecb,1024,0.25,16000000,24.186296701431274
full disk cbc,1024,0.25,16000000,25.47272038459778
